,student_num,age,average_hours,mark,percentage,time_taken
66.0,1.0,18.0,5.0,125.0,96.1,180.0
67.0,5.0,22.0,4.6,121.0,93.07,172.0
68.0,4.0,21.0,4.7,122.0,93.84,174.0
69.0,4.0,21.0,4.7,122.0,93.84,174.0
70.0,8.0,25.0,4.3,118.0,90.76,166.0
71.0,1.0,18.0,5.0,125.0,96.1,180.0
72.0,8.0,25.0,4.3,118.0,90.76,166.0
73.0,2.0,19.0,4.9,124.0,95.38,178.0
74.0,9.0,26.0,4.2,117.0,90.0,164.0
75.0,4.0,21.0,4.7,122.0,93.84,174.0
76.0,7.0,24.0,4.4,119.0,91.53,168.0
77.0,8.0,25.0,4.3,118.0,90.76,166.0
78.0,2.0,19.0,4.9,124.0,95.38,178.0
79.0,6.0,23.0,4.5,120.0,92.3,170.0
80.0,1.0,18.0,5.0,125.0,96.1,180.0
81.0,2.0,19.0,4.9,124.0,95.38,178.0
82.0,9.0,26.0,4.2,117.0,90.0,164.0
83.0,7.0,24.0,4.4,119.0,91.53,168.0
84.0,8.0,25.0,4.3,118.0,90.76,166.0
85.0,7.0,24.0,4.4,119.0,91.53,168.0
86.0,6.0,23.0,4.5,120.0,92.3,170.0
87.0,4.0,21.0,4.7,122.0,93.84,174.0
88.0,8.0,25.0,4.3,118.0,90.76,166.0
89.0,8.0,25.0,4.3,118.0,90.76,166.0
90.0,6.0,23.0,4.5,120.0,92.3,170.0
91.0,5.0,22.0,4.6,121.0,93.07,172.0
92.0,5.0,22.0,4.6,121.0,93.07,172.0
93.0,9.0,26.0,4.2,117.0,90.0,164.0
94.0,1.0,18.0,5.0,125.0,96.1,180.0
95.0,6.0,23.0,4.5,120.0,92.3,170.0
96.0,9.0,26.0,4.2,117.0,90.0,164.0
97.0,3.0,20.0,4.8,123.0,94.61,176.0
98.0,1.0,18.0,5.0,125.0,96.1,180.0
99.0,8.0,25.0,4.3,118.0,90.76,166.0
100.0,6.0,23.0,4.5,120.0,92.3,170.0
101.0,1.0,18.0,5.0,125.0,96.1,180.0
102.0,3.0,20.0,4.8,123.0,94.61,176.0
103.0,3.0,20.0,4.8,123.0,94.61,176.0
104.0,4.0,21.0,4.7,122.0,93.84,174.0
105.0,4.0,21.0,4.7,122.0,93.84,174.0
106.0,6.0,23.0,4.5,120.0,92.3,170.0
107.0,5.0,22.0,4.6,121.0,93.07,172.0
108.0,8.0,25.0,4.3,118.0,90.76,166.0
109.0,2.0,19.0,4.9,124.0,95.38,178.0
110.0,7.0,24.0,4.4,119.0,91.53,168.0
111.0,4.0,21.0,4.7,122.0,93.84,174.0
112.0,2.0,19.0,4.9,124.0,95.38,178.0
113.0,3.0,20.0,4.8,123.0,94.61,176.0
114.0,5.0,22.0,4.6,121.0,93.07,172.0
115.0,8.0,25.0,4.3,118.0,90.76,166.0
116.0,5.0,22.0,4.6,121.0,93.07,172.0
117.0,9.0,26.0,4.2,117.0,90.0,164.0
118.0,6.0,23.0,4.5,120.0,92.3,170.0
119.0,1.0,18.0,5.0,125.0,96.1,180.0
120.0,8.0,25.0,4.3,118.0,90.76,166.0
121.0,5.0,22.0,4.6,121.0,93.07,172.0
122.0,1.0,18.0,5.0,125.0,96.1,180.0
123.0,4.0,21.0,4.7,122.0,93.84,174.0
124.0,8.0,25.0,4.3,118.0,90.76,166.0
125.0,8.0,25.0,4.3,118.0,90.76,166.0
126.0,8.0,25.0,4.3,118.0,90.76,166.0
127.0,6.0,23.0,4.5,120.0,92.3,170.0
128.0,7.0,24.0,4.4,119.0,91.53,168.0
129.0,5.0,22.0,4.6,121.0,93.07,172.0
130.0,6.0,23.0,4.5,120.0,92.3,170.0
131.0,5.0,22.0,4.6,121.0,93.07,172.0
132.0,8.0,25.0,4.3,118.0,90.76,166.0
133.0,5.0,22.0,4.6,121.0,93.07,172.0
134.0,6.0,23.0,4.5,120.0,92.3,170.0
135.0,3.0,20.0,4.8,123.0,94.61,176.0
136.0,2.0,19.0,4.9,124.0,95.38,178.0
137.0,4.0,21.0,4.7,122.0,93.84,174.0
138.0,3.0,20.0,4.8,123.0,94.61,176.0
139.0,6.0,23.0,4.5,120.0,92.3,170.0
140.0,9.0,26.0,4.2,117.0,90.0,164.0
141.0,3.0,20.0,4.8,123.0,94.61,176.0
142.0,1.0,18.0,5.0,125.0,96.1,180.0
143.0,7.0,24.0,4.4,119.0,91.53,168.0
144.0,8.0,25.0,4.3,118.0,90.76,166.0
145.0,3.0,20.0,4.8,123.0,94.61,176.0
146.0,4.0,21.0,4.7,122.0,93.84,174.0
147.0,8.0,25.0,4.3,118.0,90.76,166.0
148.0,1.0,18.0,5.0,125.0,96.1,180.0
149.0,7.0,24.0,4.4,119.0,91.53,168.0
150.0,7.0,24.0,4.4,119.0,91.53,168.0
